device_sk,device_id,device_name,device_label,device_type,additional_info,device_data,customer_id,tenant_id,firmware_id,software_id,external_id,device_profile_id,device_profile_name,device_profile_description,transport_type,provision_type,device_profile_is_default,created_at,_dbt_loaded_at
dsk_3a4a8ede6936a853,7fbb8874-7250-4d55-a7bb-d4d19cf0ae76,BMS_CO2_SENSOR_01071,BMS_CO2_SENSOR_01071,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_e4350df66534235c,cc47361b-0981-4bc9-b0d6-de660d24d5e9,BMS_CO2_SENSOR_01072,BMS_CO2_SENSOR_01072,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_31ac5f4274daefb9,e863b6ea-b3fa-4cdd-ae1b-2ebf095a3403,BMS_CO2_SENSOR_01073,BMS_CO2_SENSOR_01073,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_b8608bd1da67857d,aa97b1b7-f224-4636-befc-bb68e1a638d4,BMS_CO2_SENSOR_01074,BMS_CO2_SENSOR_01074,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_582770402f566ad5,aae23976-2fbc-4660-ac6f-61b1e5c86980,BMS_CO2_SENSOR_01075,BMS_CO2_SENSOR_01075,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_4fa1450b7b6d34d4,fa6d4be6-c812-49bc-8247-544da882177c,BMS_CO2_SENSOR_01076,BMS_CO2_SENSOR_01076,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_95879249fda504cc,d2b1bc97-e37f-4253-80e9-742a7dc73e26,BMS_CO2_SENSOR_01077,BMS_CO2_SENSOR_01077,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_6b7455390ac123da,298dc98b-9e3f-4db5-bd68-90187fdf19a0,BMS_CO2_SENSOR_01078,BMS_CO2_SENSOR_01078,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_87f2cb5b9464fe96,ad43e88d-0c23-4ede-a5f2-489ef5491e4f,BMS_CO2_SENSOR_01079,BMS_CO2_SENSOR_01079,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_6b19612db3254ca0,febd9686-f065-4a22-8361-2100acbcd11f,BMS_CO2_SENSOR_01080,BMS_CO2_SENSOR_01080,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_0fc58b80296a2a0b,0f7f4a6a-07d7-4c58-861e-28763664909c,BMS_CO2_SENSOR_01081,BMS_CO2_SENSOR_01081,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_479ea7e09f1001ca,89000ea3-65f4-40cb-9382-1606353f1195,BMS_CO2_SENSOR_01082,BMS_CO2_SENSOR_01082,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_5934342fa8cd1ecd,106c5edf-5f40-4b47-ac23-f78b02ae7480,BMS_CO2_SENSOR_01083,BMS_CO2_SENSOR_01083,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_a2a205042ad937ca,28bc4670-b98b-4b35-a418-38e2fa9acf13,BMS_CO2_SENSOR_01084,BMS_CO2_SENSOR_01084,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_88039cf09dbb37d9,d822fccd-6258-47ba-b4d0-4c46e9aaf37f,BMS_CO2_SENSOR_01085,BMS_CO2_SENSOR_01085,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_b897cebb93f37293,6f996ded-05b4-49b7-8ab5-da3f61299672,BMS_CO2_SENSOR_01086,BMS_CO2_SENSOR_01086,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_9431954ad6f95f60,2aae254e-244d-4710-be85-f963d38c85a6,BMS_CO2_SENSOR_01087,BMS_CO2_SENSOR_01087,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_c82591c4d9a8fdc1,54620427-725f-4b18-aa45-93f783dfcc2e,BMS_CO2_SENSOR_01088,BMS_CO2_SENSOR_01088,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_a58c54ea4c63aeba,d98fa376-e34b-41be-9b96-8463e997a1cd,BMS_CO2_SENSOR_01089,BMS_CO2_SENSOR_01089,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_3aa3bd04f1b747c1,fec16176-3074-4410-a0a7-8c6107360524,BMS_CO2_SENSOR_01090,BMS_CO2_SENSOR_01090,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_0107bf86f9a2caa6,fff91720-2792-4e37-a547-4c85ef570226,BMS_CO2_SENSOR_01091,BMS_CO2_SENSOR_01091,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_8ca352ed51c5a593,4d407c56-a87a-4830-be20-6d2743d11c18,BMS_CO2_SENSOR_01092,BMS_CO2_SENSOR_01092,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_387b95cede5151d9,6a703519-abd9-43fa-8d20-dd044f25486f,BMS_CO2_SENSOR_01093,BMS_CO2_SENSOR_01093,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_ec1861616f9147ca,7a1a3840-90dd-4a24-a75d-00865f3fd012,BMS_CO2_SENSOR_01094,BMS_CO2_SENSOR_01094,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_350db020fa423333,fb602b52-8ed8-415c-a4b6-8e738f242503,BMS_CO2_SENSOR_01095,BMS_CO2_SENSOR_01095,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_2220eed4ffad7584,491c1667-877e-4722-8018-85c2fc898527,BMS_CO2_SENSOR_01096,BMS_CO2_SENSOR_01096,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_0e7d72906551318a,719c5fcf-540c-4be7-a00e-fc504295a97f,BMS_CO2_SENSOR_01097,BMS_CO2_SENSOR_01097,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_20ed57e6da3a5804,f124e33e-28d7-4c73-92df-e52314a8efe0,BMS_CO2_SENSOR_01098,BMS_CO2_SENSOR_01098,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_d1a5332402a1cb9f,4e8117de-efbf-45b9-bb6d-e2f9074db03d,BMS_CO2_SENSOR_01099,BMS_CO2_SENSOR_01099,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_adcffaac4426ad69,a7b2c19f-3a74-4e50-abf4-d3ec63492351,BMS_CO2_SENSOR_01100,BMS_CO2_SENSOR_01100,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_1ff4eac2db10d15d,db9eae2f-7506-4d8e-b29c-0ad89070ea8f,BMS_CO2_SENSOR_01101,BMS_CO2_SENSOR_01101,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_0220a3ad0de7f118,4dd636df-f0b5-45e2-8acf-039c41fbc945,BMS_CO2_SENSOR_01102,BMS_CO2_SENSOR_01102,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_6817cf28b89ac733,4e453974-6813-44d0-a66f-f40ae7f048bb,BMS_CO2_SENSOR_01103,BMS_CO2_SENSOR_01103,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_ce0c21d2bdda152b,b3011518-cb57-4e2c-ac2d-10023c549f78,BMS_CO2_SENSOR_01104,BMS_CO2_SENSOR_01104,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_3d79811b3dfc5d2e,fc06d1e6-d3cd-40ee-8264-54e361d5d32d,BMS_CO2_SENSOR_01105,BMS_CO2_SENSOR_01105,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_a10effb2e2de35c5,6e5dcf8a-4a32-4e00-9ed3-421ee2fc9271,BMS_CO2_SENSOR_01106,BMS_CO2_SENSOR_01106,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_063a5a0ffedd39b6,24ab565f-2135-46f8-bb29-c5f8d35276df,BMS_CO2_SENSOR_01107,BMS_CO2_SENSOR_01107,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_5b0948099776c84e,436d72fc-dcbf-49aa-9e48-a33539eccb69,BMS_CO2_SENSOR_01108,BMS_CO2_SENSOR_01108,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_1465912ff342b726,ae324744-8228-41ef-b5af-a590146afd69,BMS_CO2_SENSOR_01109,BMS_CO2_SENSOR_01109,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
